SAMPLE	POP	SUPERPOP
CHM1	Mole	NA
CHM13	Mole	NA
HG00514	CHB	EA
HG00733	PUR	AMR
NA19240	YRI	AFR
HG02818	GWD	AFR
NA19434	LWK	AFR
HG01352	CLM	AMR
HG02059	KHV	SA
NA12878	CEU	EUR
HG04217	ITU	SA
HG02106	PEL	AMR
HG00268	FIN	EUR
AK1	Korean	EA
HX1	Chinese	EA
